,Страна,Дата,Заражений,Выздоровлений,Смертей,Заражений за день,Выздоровлений за день,Смертей за день
0,Испания,22.01.2020,0,0,0,0,0,0
1,Испания,23.01.2020,0,0,0,0,0,0
2,Испания,24.01.2020,0,0,0,0,0,0
3,Испания,25.01.2020,0,0,0,0,0,0
4,Испания,26.01.2020,0,0,0,0,0,0
5,Испания,27.01.2020,0,0,0,0,0,0
6,Испания,28.01.2020,0,0,0,0,0,0
7,Испания,29.01.2020,0,0,0,0,0,0
8,Испания,30.01.2020,0,0,0,0,0,0
9,Испания,31.01.2020,0,0,0,0,0,0
10,Испания,01.02.2020,1,0,0,1,0,0
11,Испания,02.02.2020,1,0,0,0,0,0
12,Испания,03.02.2020,1,0,0,0,0,0
13,Испания,04.02.2020,1,0,0,0,0,0
14,Испания,05.02.2020,1,0,0,0,0,0
15,Испания,06.02.2020,1,0,0,0,0,0
16,Испания,07.02.2020,1,0,0,0,0,0
17,Испания,08.02.2020,1,0,0,0,0,0
18,Испания,09.02.2020,2,0,0,1,0,0
19,Испания,10.02.2020,2,0,0,0,0,0
20,Испания,11.02.2020,2,0,0,0,0,0
21,Испания,12.02.2020,2,0,0,0,0,0
22,Испания,13.02.2020,2,0,0,0,0,0
23,Испания,14.02.2020,2,0,0,0,0,0
24,Испания,15.02.2020,2,2,0,0,2,0
25,Испания,16.02.2020,2,2,0,0,0,0
26,Испания,17.02.2020,2,2,0,0,0,0
27,Испания,18.02.2020,2,2,0,0,0,0
28,Испания,19.02.2020,2,2,0,0,0,0
29,Испания,20.02.2020,2,2,0,0,0,0
30,Испания,21.02.2020,2,2,0,0,0,0
31,Испания,22.02.2020,2,2,0,0,0,0
32,Испания,23.02.2020,2,2,0,0,0,0
33,Испания,24.02.2020,2,2,0,0,0,0
34,Испания,25.02.2020,6,2,0,4,0,0
35,Испания,26.02.2020,13,2,0,7,0,0
36,Испания,27.02.2020,15,2,0,2,0,0
37,Испания,28.02.2020,32,2,0,17,0,0
38,Испания,29.02.2020,45,2,0,13,0,0
39,Испания,01.03.2020,84,2,0,39,0,0
40,Испания,02.03.2020,120,2,0,36,0,0
41,Испания,03.03.2020,165,2,1,45,0,1
42,Испания,04.03.2020,222,2,2,57,0,1
43,Испания,05.03.2020,259,2,3,37,0,1
44,Испания,06.03.2020,400,2,5,141,0,2
45,Испания,07.03.2020,500,30,10,100,28,5
46,Испания,08.03.2020,673,30,17,173,0,7
47,Испания,09.03.2020,1073,32,28,400,2,11
48,Испания,10.03.2020,1695,32,35,622,0,7
49,Испания,11.03.2020,2277,183,54,582,151,19
50,Испания,12.03.2020,2277,183,55,0,0,1
51,Испания,13.03.2020,5232,193,133,2955,10,78
52,Испания,14.03.2020,6391,517,195,1159,324,62
53,Испания,15.03.2020,7798,517,289,1407,0,94
54,Испания,16.03.2020,9942,530,342,2144,13,53
55,Испания,17.03.2020,11748,1028,533,1806,498,191
56,Испания,18.03.2020,13910,1081,623,2162,53,90
57,Испания,19.03.2020,17963,1107,830,4053,26,207
58,Испания,20.03.2020,20410,1588,1043,2447,481,213
59,Испания,21.03.2020,25374,2125,1375,4964,537,332
60,Испания,22.03.2020,28768,2575,1772,3394,450,397
61,Испания,23.03.2020,35136,2575,2311,6368,0,539
62,Испания,24.03.2020,39885,3794,2808,4749,1219,497
63,Испания,25.03.2020,49515,5367,3647,9630,1573,839
64,Испания,26.03.2020,57786,7015,4365,8271,1648,718
65,Испания,27.03.2020,65719,9357,5138,7933,2342,773
66,Испания,28.03.2020,73235,12285,5982,7516,2928,844
67,Испания,29.03.2020,80110,14709,6803,6875,2424,821
68,Испания,30.03.2020,87956,16780,7716,7846,2071,913
69,Испания,31.03.2020,95923,19259,8464,7967,2479,748
70,Испания,01.04.2020,104118,22647,9387,8195,3388,923
71,Испания,02.04.2020,112065,26743,10348,7947,4096,961
72,Испания,03.04.2020,119199,30513,11198,7134,3770,850
73,Испания,04.04.2020,126168,34219,11947,6969,3706,749
74,Испания,05.04.2020,131646,38080,12641,5478,3861,694
75,Испания,06.04.2020,136675,40437,13341,5029,2357,700
76,Испания,07.04.2020,141942,43208,14045,5267,2771,704
77,Испания,08.04.2020,148220,48021,14792,6278,4813,747
78,Испания,09.04.2020,153222,52165,15447,5002,4144,655
79,Испания,10.04.2020,158273,55668,16081,5051,3503,634
80,Испания,11.04.2020,163027,59109,16606,4754,3441,525
81,Испания,12.04.2020,166831,62391,17209,3804,3282,603
82,Испания,13.04.2020,170099,64727,17756,3268,2336,547
83,Испания,14.04.2020,172541,67504,18056,2442,2777,300
84,Испания,15.04.2020,177644,70853,18708,5103,3349,652
85,Испания,16.04.2020,184948,74797,19315,7304,3944,607
86,Испания,17.04.2020,190839,74797,20002,5891,0,687
87,Испания,18.04.2020,191726,74797,20043,887,0,41
88,Испания,19.04.2020,198674,77357,20453,6948,2560,410
89,Испания,20.04.2020,200210,80587,20852,1536,3230,399
90,Испания,21.04.2020,204178,82514,21282,3968,1927,430
91,Испания,22.04.2020,208389,85915,21717,4211,3401,435
92,Испания,23.04.2020,213024,89250,22157,4635,3335,440
93,Испания,24.04.2020,202990,92355,22524,-10034,3105,367
94,Испания,25.04.2020,205905,95708,22902,2915,3353,378
95,Испания,26.04.2020,207634,98372,23190,1729,2664,288
96,Испания,27.04.2020,209465,100875,23521,1831,2503,331
97,Испания,28.04.2020,210773,102548,23822,1308,1673,301
98,Испания,29.04.2020,212917,108947,24275,2144,6399,453
99,Испания,30.04.2020,213435,112050,24543,518,3103,268
100,Испания,01.05.2020,215216,112050,24543,1781,0,0
101,Испания,02.05.2020,216582,117248,25100,1366,5198,557
102,Испания,03.05.2020,217466,118902,25264,884,1654,164
103,Испания,04.05.2020,218011,121343,25428,545,2441,164
104,Испания,05.05.2020,219329,123486,25613,1318,2143,185
105,Испания,06.05.2020,220325,126002,25857,996,2516,244
106,Испания,07.05.2020,221447,128511,26070,1122,2509,213
107,Испания,08.05.2020,222857,131148,26299,1410,2637,229
108,Испания,09.05.2020,223578,133952,26478,721,2804,179
109,Испания,10.05.2020,224350,136166,26621,772,2214,143
110,Испания,11.05.2020,227436,137139,26744,3086,973,123
111,Испания,12.05.2020,228030,138980,26920,594,1841,176
112,Испания,13.05.2020,228691,140823,27104,661,1843,184
113,Испания,14.05.2020,229540,143374,27321,849,2551,217
114,Испания,15.05.2020,230183,144783,27459,643,1409,138
115,Испания,16.05.2020,230698,146446,27563,515,1663,104
116,Испания,17.05.2020,230698,146446,27563,0,0,0
117,Испания,18.05.2020,231606,150376,27709,908,3930,146
118,Испания,19.05.2020,232037,150376,27778,431,0,69
119,Испания,20.05.2020,232555,150376,27888,518,0,110
120,Испания,21.05.2020,233037,150376,27940,482,0,52
121,Испания,22.05.2020,234824,150376,28628,1787,0,688
122,Испания,23.05.2020,235290,150376,28678,466,0,50
123,Испания,24.05.2020,235772,150376,28752,482,0,74
124,Испания,25.05.2020,235400,150376,26834,-372,0,-1918
125,Испания,26.05.2020,236259,150376,27117,859,0,283
126,Испания,27.05.2020,236259,150376,27117,0,0,0
127,Испания,28.05.2020,237906,150376,27119,1647,0,2
128,Испания,29.05.2020,238564,150376,27121,658,0,2
129,Испания,30.05.2020,239228,150376,27125,664,0,4
130,Испания,31.05.2020,239479,150376,27127,251,0,2
131,Испания,01.06.2020,239638,150376,27127,159,0,0
132,Испания,02.06.2020,239932,150376,27127,294,0,0
133,Испания,03.06.2020,240326,150376,27128,394,0,1
134,Испания,04.06.2020,240660,150376,27133,334,0,5
135,Испания,05.06.2020,240978,150376,27134,318,0,1
136,Испания,06.06.2020,241310,150376,27135,332,0,1
137,Испания,07.06.2020,241550,150376,27136,240,0,1
138,Испания,08.06.2020,241717,150376,27136,167,0,0
139,Испания,09.06.2020,241966,150376,27136,249,0,0
